year,CAN,CHN,EMU,IND,USA
1995,0.27691688686300076,0.03279055563624901,0.33492992708229835,0.016003779053998527,0.3393588513644534
1996,0.2768806680779762,0.037022213281247815,0.3252196080451482,0.016747853416995206,0.3441296571786326
1997,0.27792116134387496,0.041253954028364515,0.2974481346679785,0.017727840924049307,0.3656489090357327
1998,0.2759415595808381,0.04243671471892356,0.2935552451675212,0.017240552524062196,0.370825928008655
1999,0.27674970678356636,0.04352439739877649,0.2818786524024601,0.018091255863411364,0.37975598755178586
2000,0.2790677304608053,0.047761879523194994,0.25480558073063475,0.018280989199204636,0.40008382008616034
2001,0.278001227097421,0.051344549597104765,0.2512935008673155,0.018394119747842018,0.4009666026903166
2002,0.27724859020296627,0.05336958657543314,0.25942381520399277,0.01844656267352449,0.39151144534408344
2003,0.2785024724534916,0.053593779225456877,0.2839369266265753,0.0193413578300855,0.36462546386439065
2004,0.27942565818738446,0.05686845683179681,0.2932277965822355,0.020324811733108114,0.35015327666547513
2005,0.28146517772926444,0.06216147726290154,0.2846309151644818,0.022004374490106737,0.3497380553532455
2006,0.28281218862524704,0.06942895298264133,0.28075776337764835,0.023385740757552665,0.34361535425691075
2007,0.2826267733514147,0.08005656229025004,0.2887747310002019,0.027027255209633214,0.32151467814850015
2008,0.2819240347791043,0.0959443131873518,0.2938699573210521,0.024645089624734707,0.30361660508775706
2009,0.27906820684066586,0.1097402453851746,0.2766584081667775,0.02837593845679526,0.30615720115058676
2010,0.2825035493469812,0.1244512093273137,0.25693342915339906,0.033674637568642106,0.3024371746036638
2011,0.2830494608489326,0.1413838590344936,0.25447989411556493,0.03359727060530601,0.2874895153957028
2012,0.28314773151203665,0.15725091880865721,0.23178723052439365,0.033134516936567555,0.29467960221834477
2013,0.2817307189529123,0.16741945675746178,0.22952279275307919,0.03190468460289709,0.28942234693364965
2014,0.27960106696568576,0.17498412981426117,0.22428551199958585,0.033426733226809696,0.28770255799365757
2015,0.2759552139587314,0.18811069901240438,0.19726575174955974,0.03507791629395209,0.3035904189853524
2016,0.2748604211236125,0.1863891120455549,0.19724540065234744,0.037336265241020565,0.30416880093746457
2017,0.27516293181862606,0.1912861914981664,0.1959304577853847,0.04045368090059047,0.2971667379972324
2018,0.2744238559308056,0.2002765584834721,0.1963696630295657,0.03826282221090029,0.29066710034525634
2019,0.2741690604599091,0.20181251166891834,0.18836229980256844,0.039303176725881524,0.2963529513427227
2020,0.27314349163973495,0.2096228705892177,0.1854565245413885,0.037389609280602115,0.2943875039490568
2021,0.2746107404469761,0.22150019289438339,0.18161992102751745,0.03854316373486886,0.28372598189625414
2022,0.2756904387882999,0.21482987136850556,0.16992572449639046,0.03924512856703791,0.3003088367797661
2023,0.2742455099934764,0.2038218512059606,0.1768740021874505,0.040590536745888785,0.3044680998672237
2024,0.27399312821733185,0.20044352429035023,0.1762929591652721,0.04181181543024761,0.3074585728967983
